Index	Name	Description	File Name	Quantity
10.1.3.4.1.1.4.25	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB024		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.26	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB025		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.27	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB026		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.28	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB027		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.29	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB028		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.30	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB029		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.31	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB030		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.32	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB031		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.33	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB032		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.34	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB033		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.35	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB034		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.36	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB035		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.37	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB036		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.38	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB037		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.39	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB038		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.40	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB039		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.41	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB040		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5	Camera Connector, RPi4ModelB017		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.1	Camera Connector, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.2	Camera Connector, RPi4ModelB001		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.3	Camera Connector, RPi4ModelB002		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.4	Camera Connector, RPi4ModelB003		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.5	Camera Connector, RPi4ModelB004		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.6	Camera Connector, RPi4ModelB005		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.7	Camera Connector, RPi4ModelB006		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.8	Camera Connector, RPi4ModelB007		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.9	Camera Connector, RPi4ModelB008		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.10	Camera Connector, RPi4ModelB009		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.11	Camera Connector, RPi4ModelB010		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.12	Camera Connector, RPi4ModelB011		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.13	Camera Connector, RPi4ModelB012		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.14	Camera Connector, RPi4ModelB013		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.15	Camera Connector, RPi4ModelB014		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.16	Camera Connector, RPi4ModelB015		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.5.17	Camera Connector, RPi4ModelB016		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.6	Microphone Plug, RPi4ModelB005		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.6.1	Microphone Plug, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.6.2	Microphone Plug, RPi4ModelB001		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.6.3	Microphone Plug, RPi4ModelB002		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.6.4	Microphone Plug, RPi4ModelB003		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
